02/06/21;12:38:04;39730;Dinheiro;16,8
02/06/21;14:03:40;39736;Dinheiro;8,25
02/06/21;14:34:51;39740;Crediário;7,84
02/06/21;15:44:29;39746;Dinheiro;17,6
02/06/21;16:11:45;39748;Dinheiro;13,0
02/06/21;16:16:30;39749;Dinheiro;2,08
02/06/21;16:18:42;39751;Dinheiro;12,0
02/06/21;16:28:04;39752;Dinheiro;20,85
02/06/21;16:40:57;39755;Dinheiro;12,5
02/06/21;16:41:42;39756;Dinheiro;24,23
02/06/21;16:43:15;39757;Dinheiro;3,0
02/06/21;16:56:12;39761;Dinheiro;30,88
02/06/21;17:04:47;39763;Dinheiro;24,37
02/06/21;17:05:40;39764;Dinheiro;8,0
02/06/21;17:13:36;39766;Dinheiro;4,46
02/06/21;17:14:24;39767;Dinheiro;38,29
02/06/21;17:34:24;39771;Dinheiro;41,61
02/06/21;17:40:12;39773;Dinheiro;29,56
02/06/21;17:42:34;39775;Dinheiro;15,2
02/06/21;18:03:46;39782;Crediário;11,67
02/06/21;18:29:20;39791;Dinheiro;17,94
02/06/21;18:52:03;39796;Dinheiro;17,22
02/06/21;19:27:13;39800;Dinheiro;10,4
02/06/21;19:32:44;39803;Dinheiro;16,8
02/06/21;20:00:04;39808;Dinheiro;26,01
02/06/21;20:22:24;39809;Crediário;10,0
02/06/21;20:22:50;39810;Crediário;25,56
03/06/21;07:39:39;1/00018438;Cartao  Débito;27,65
03/06/21;07:43:53;1/00018439;Cartao  Débito;3,57
03/06/21;07:52:50;1/00018440;Cartao  Débito;3,45
03/06/21;08:07:13;1/00018441;Cartao Crédito;7,91
03/06/21;08:08:12;1/00018442;Cartao  Débito;25,5
03/06/21;08:19:43;1/00018443;Cartao Crédito;35,59
03/06/21;08:53:51;1/00018444;Cartao Crédito;57,0
03/06/21;08:57:10;1/00018445;Cartao  Débito;19,03
03/06/21;08:58:59;1/00018446;Cartao  Débito;47,38
03/06/21;09:09:35;1/00018447;Dinheiro;3,63
03/06/21;09:17:40;1/00018448;Cartao Crédito;14,56
03/06/21;09:19:47;1/00018449;Cartao Crédito;4,22
03/06/21;09:21:15;1/00018450;Cartao  Débito;32,66
03/06/21;09:22:36;1/00018451;Cartao Crédito;15,0
03/06/21;09:50:41;1/00018452;Cartao  Débito;87,73
03/06/21;09:54:52;1/00018453;Cartao Crédito;13,19
03/06/21;10:06:29;1/00018454;Cartao Crédito;13,54
03/06/21;10:07:14;1/00018455;Cartao Crédito;42,36
03/06/21;10:10:07;1/00018456;Cartao Crédito;155,29
03/06/21;10:13:03;1/00018457;Cartao Crédito;9,72
03/06/21;10:19:05;1/00018458;Cartao  Débito;16,56
03/06/21;10:29:30;1/00018459;Cartao  Débito;2,74
03/06/21;10:45:21;1/00018460;Cartao  Débito;16,29
03/06/21;10:46:09;1/00018461;Cartao  Débito;19,48
03/06/21;10:53:40;1/00018462;Dinheiro;15,45
03/06/21;11:01:28;1/00018463;Cartao Crédito;38,5
03/06/21;11:02:47;1/00018464;Cartao Crédito;50,62
